Municipality,Year,pastures_area_var,pastures_area_munic,pastures_area_mean,agric_area_mean,agric_area_owned,tract_100ha,lu_cattle,lu_per_agric_area,farmers_female,farmers_over65,educ_none,educ_second_super,agric_time_full,inc_excl_agric,inc_mainly_ext,work_unit_100ha
Celorico da Beira,2012,0.95788780616276,0.49295221056626276,4.596941354903943,10.74,0.5465289637038845,5.11,0.16151184118981143,0.372,0.25783619817997977,0.5055611729019212,19.031,8.841,17.28,0.2850288688297959,0.46377165162234696,9.24
Celorico da Beira,2013,0.9438504082170135,0.5075053812167214,4.538753799392097,10.82,0.5605245270193723,5.18,0.16428302510776735,0.396,0.26469098277608916,0.5040526849037488,17.358,9.117999999999999,17.060000000000002,0.30163135833238924,0.4825252067520109,9.32
Celorico da Beira,2014,0.9298130102712668,0.5234247590808006,4.480329949238579,10.9,0.5758339510748702,5.25,0.1678492004659536,0.42000000000000004,0.2715736040609137,0.5025380710659898,15.685,9.395,16.840000000000003,0.3197924388435878,0.5030392883617495,9.4
Celorico da Beira,2015,0.9157756123255201,0.5409122021031672,4.421668362156663,10.98,0.5926513595918114,5.32,0.17223682521423797,0.444,0.27848423194303157,0.5010172939979655,14.012,9.671999999999999,16.62,0.3397423931304835,0.5255740153070748,9.48
Celorico da Beira,2016,0.9017382143797735,0.5602113943519095,4.36276758409786,11.06,0.6112110998396545,5.39,0.17749747371135507,0.468,0.2854230377166157,0.4994903160040775,12.339,9.948999999999998,16.400000000000002,0.3617592198697602,0.5504434045616676,9.56
Celorico da Beira,2017,0.8877008164340269,0.5816192711209277,4.303626149131767,11.14,0.6317987299834346,5.46,0.1837096470081211,0.492,0.2923901940755873,0.4979570990806946,10.666,10.225999999999999,16.180000000000003,0.38618166758696854,0.5780300938707896,9.64
Celorico da Beira,2018,0.8736634184882802,0.6055014054685504,4.244242579324463,11.22,0.6547658160844011,5.529999999999999,0.19098270168608117,0.516,0.2993858751279427,0.49641760491299897,8.993,10.503,15.960000000000003,0.41342678786551307,0.6088051692038111,9.72
Celorico da Beira,2019,0.8596260205425336,0.6323130569546688,4.184615384615385,11.3,0.6805501743510267,5.6,0.19946331453499216,0.54,0.30641025641025643,0.4948717948717949,7.32,10.78,15.740000000000002,0.44401394808213873,0.6433552886478109,9.8
Figueira de Castelo Rodrigo,1995,1.2747661651077675,0.4059822694805826,6.738284608770422,16.64,0.7497523037371376,2.08,0.27556252300085937,0.188,0.2003439380911436,0.4160576096302666,36.096000000000004,7.646,13.758,0.38622484992520545,0.253155294224306,6.96
Figueira de Castelo Rodrigo,1996,1.2680662871085808,0.40896511925293955,6.822766807067448,16.73,0.7636876930441796,2.21,0.2698640081102031,0.191,0.20874131612056235,0.4200536075707018,34.787,7.702,12.155999999999999,0.36532647828396425,0.2634319402456538,6.72
